ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P904A,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00079,13,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00087,14,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00088,15,1,2,6,162.719047619048,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00023,1,1,2,6,174.341836734694,1,0,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00051,2,1,2,6,174.341836734694,1,0,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00064,4,1,2,6,174.341836734694,1,0,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00070,5,1,2,6,174.341836734694,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0, ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00084,6,1,2,6,174.341836734694,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00089,7,1,2,6,174.341836734694,1,0,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00109,8,1,2,6,174.341836734694,1,0,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00116,9,1,2,6,174.341836734694,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00120,10,1,2,6,174.341836734694,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00134,11,1,2,6,174.341836734694,1,0,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00142,12,1,2,6,174.341836734694,1,0,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00159,13,1,2,6,174.341836734694,1,0,1,1,2, , , , , , , , , , , , , , , , , , , , ,5,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00187,14,1,2,6,174.341836734694,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00204,15,1,2,6,174.341836734694,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00007,1,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00011,2,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00013,3,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00014,4,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00029,5,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00034,6,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00039,7,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00042,8,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00043,9,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00050,10,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00057,11,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00067,12,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00068,13,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,1,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00084,14,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00103,15,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00001,1,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00006,2,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
