ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P904A,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10900,02,02,1,2,211341003,31.6739883422852,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10900,03,03,1,2,211341003,14.8429698944092,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10900,04,04,1,2,211341003,110.722045898438,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10900,05,05,1,2,211341003,4.56171846389771,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10900,06,06,1,2,211341003,122.266716003418,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10900,07,07,1,2,211341003,83.2455139160156,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10900,08,08,1,2,211341003,155.403289794922,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10900,09,09,1,2,211341003,19.1778335571289,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10900,10,10,1,2,211341003,10.9204273223877,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10900,11,11,1,2,211341003,1.67412102222443,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
