ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2018,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00065,9, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,80,40, , ,1,1,0,0,0,0,0,0,0,50,170,100, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,100,270, 
2018,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00074,10, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,525,500, , ,6,3,0,0,0,600,0,0,190,90,1905, , , , , , , , , , , , , , , , , , , , , , , ,1905, 
2018,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00085,11, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,300,300, , ,4,1,0,0,0,0,0,0,0,200,800, , , , , , , , , , , , , , , , , , , , , , , ,800, 
2018,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00101,13, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,50,50, , ,1,1,0,0,0,0,0,0,0,50,150, , , , , , , , , , , , , , , , , , , , , , , ,150, 
2018,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00109,14, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,200,0, , ,1, ,0,0,0,0,0,0,0,90,290, , , , , , , , , , , , , , , , , , , , , , , ,290, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00009,1, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,0,0, , , , ,0,0,105,0,0,0,0,0,105, , , , , , , , , , , , , , , , , , , , , , , ,105, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00024,3, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,200,0,0,0,0,0,200,800, , ,0,0,120,0,0,0,0,0,0, , , , ,500,0,0,0,0,0,1420,1620, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00043,4, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,125,0,0,0,0,0,125,700, , ,0,0,40,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,740,865, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00067,5, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,160,0,0,0,0,0,160,200, , ,0,0,600,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,800,960, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00079,6, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,15,0,0,0,0,0,15,20, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,20,35, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00100,7, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,245,0,0,0,0,0,245,360, , ,0,0,142,0,0,0,0,0,0, , , , ,1248,0,0,0,0,0,1750,1995, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00110,8, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,46,0,0,0,0,0,46,50, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,50,96, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00133,9, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,120,0,0,0,0,0,120,100, , ,0,0,50,0,0,0,0,0,0, , , , ,1130,0,0,0,0,0,1280,1400, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00153,10, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,120,0,0,0,0,0,120,50, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,50,170, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00159,11, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,30,0, , ,1, ,0,0,57,0,0,0,0,0,87, , , , , , , , , , , , , , , , , , , , , , , ,87, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00169,12, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,0,0, , , , ,0,0,75,0,0,0,0,0,75, , , , , , , , , , , , , , , , , , , , , , , ,75, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00196,13, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,50,40, , ,1,1,0,0,405,0,0,0,0,14,509,300, , ,10,0,8,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,318,827, 
2018,21,PUNO,03,CARABAYA,04,COASA,16850,00212,14, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,161,0,0,0,0,0,161,100, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,100,261, 
2018,21,PUNO,03,CARABAYA,07,ITUATA,16863,00008,1, ,1,2,6,175.235897435897,1, ,1,1,0,0,0,160,120, , ,4,4,0,0,400,0,0,0,0,0,680,2500, , ,10,0,25,0,0,0,0,600,0, , ,1, ,0,0,0,0,0,200,3335,4015, 
2018,21,PUNO,03,CARABAYA,07,ITUATA,16863,00019,2, ,1,2,6,175.235897435897,1, ,1,1,0,0,0,0,0, , , , ,0,0,75,0,0,0,0,9,84,1000, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1000,1084, 
2018,21,PUNO,03,CARABAYA,07,ITUATA,16863,00028,3, ,1,2,6,175.235897435897,1, ,1,1,0,0,0,80,75, , ,2,3,0,0,100,0,0,0,0,15,270,2000, , ,0,0,0,0,0,0,0,250,0, , ,1, ,580,0,0,0,0,30,2860,3130, 
2018,21,PUNO,03,CARABAYA,07,ITUATA,16863,00041,4, ,1,2,6,175.235897435897,1, ,1,1,0,0,0,0,0, , , , ,0,0,120,0,0,0,0,10,130,300, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,430, 
2018,21,PUNO,03,CARABAYA,07,ITUATA,16863,00044,5, ,1,2,6,175.235897435897,1, ,1,0,250,0,0,90,60, , ,1,1,0,0,100,0,0,0,0,12,512, , , , , , , , , , , , , , , , , , , , , , , ,512, 
2018,21,PUNO,03,CARABAYA,07,ITUATA,16863,00054,6, ,1,2,6,175.235897435897,1, ,1,1,0,0,0,40,35, , ,1,1,0,0,100,0,0,0,0,4,179,800, , ,0,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,810,989, 
2018,21,PUNO,03,CARABAYA,07,ITUATA,16863,00061,7, ,1,2,6,175.235897435897,1, ,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,5,5,800, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,800,805, 
2018,21,PUNO,03,CARABAYA,07,ITUATA,16863,00074,8, ,1,2,6,175.235897435897,1, ,1,1,0,0,0,105,105, , ,3,3,0,0,100,0,0,0,0,130,440,2200, , ,15,0,30,0,0,0,0,0,80, , , ,1,0,0,0,0,0,80,2405,2845, 
2018,21,PUNO,03,CARABAYA,07,ITUATA,16863,00076,9, ,1,2,6,175.235897435897,1, ,1,1,0,0,0,40,80, , ,1,2,0,0,50,0,0,0,0,0,170,1500, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1500,1670, 
