ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,Dominio,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002A_7A_1C,P1002A_7A_2C,P1002A_7B_1C,P1002A_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00140,0013, ,1,2,6,189.8388888889,1,0,1, , , , , , , , , , , , , , , , , , ,100, , ,0,0,50,30,0,0,0,80,0, , ,2, ,0,0,0,0,0,50,310,310, 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00157,0014, ,1,2,6,189.8388888889,1,1,1,0,0,0,60,0, , ,2, ,0,0,400,0,0,0,0,0,460,0, , ,0,0,50,30,0,0,0,0,0, , , , ,0,0,0,0,0,200,280,740, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00009,0001, ,1,2,6,162.719047619,1,1,1,0,0,0,150,0, , ,3, ,0,0,250,0,0,0,0,0,400,500, , ,0,10,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,530,930, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00022,0002, ,1,2,6,162.719047619,1,1,0,0,0,0,200,0, , ,4, ,0,0,80,0,0,0,0,0,280, , , , , , , , , , , , , , , , , , , , , , , ,280, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00025,0003, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,80,0,0,0,0,0,80,500, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,500,580, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00041,0004, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,90,0,0,0,0,0,90,800, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,800,890, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00045,0005, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,350,0,0,0,0,0,350,600, , ,10,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,660,1010, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00056,0006, ,1,2,6,162.719047619,1,1,0,0,0,0,0,0, , , , ,0,0,160,0,0,0,0,0,160, , , , , , , , , , , , , , , , , , , , , , , ,160, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00065,0007, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,200,0,0,0,0,0,200,1000, , ,10,0,60,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1070,1270, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00081,0008, ,1,2,6,162.719047619,1,1,1,0,0,0,300,0, , ,4, ,0,0,500,0,0,0,0,0,800,500, , ,0,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,550,1350, 
