ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00139,13,1,3,7,59.3263888888889,1,1,1,0,0,0,390,0, , ,3, ,0,0,0,0,0,0,0,50,440,300,0,0,0,50,0,0,0,0,0, , , , ,0,0,0,0,0,0,350,790, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00152,14,1,3,7,59.3263888888889,1,1,0,0,0,0,300,0, , ,3, ,0,0,0,0,0,50,21,15,386, , , , , , , , , , , , , , , , , , , , , ,386, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00005,1,1,3,7,50.8511904761905,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,50,50,400,0,0,20,5,0,0,0,0,0, , , , ,0,0,0,0,0,0,425,475, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00006,2,1,3,7,50.8511904761905,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , ,0, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00010,3,1,3,7,50.8511904761905,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,400,0,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,420,420, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00023,4,1,3,7,50.8511904761905,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , ,0, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00028,5,1,3,7,50.8511904761905,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , ,0, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00040,6,1,3,7,50.8511904761905,1,1,0,0,0,0,1400,0, , ,4, ,0,0,0,0,0,0,0,0,1400, , , , , , , , , , , , , , , , , , , , , ,1400, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00050,7,1,3,7,50.8511904761905,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,85,85,600,0,0,50,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,660,745, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00059,8,1,3,7,50.8511904761905,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,45,45, , , , , , , , , , , , , , , , , , , , , ,45, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00065,9,1,3,7,50.8511904761905,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,400,0,0,25,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,425,425, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00072,10,1,3,7,50.8511904761905,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,60,60, , , , , , , , , , , , , , , , , , , , , ,60, 
