ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1C,P1002B_1D,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_9C,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00120,10,1,2,6,174.341836734694,1, ,1,1,9600,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,9600,12000,0, , ,0,600,200,25,0,7200,0,0,0,1, , , ,1000,0,0,0,0,0,220,21245,30845, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00134,11,1,2,6,174.341836734694,1, ,0,1, , , , , , , , , , , , , , , , , , ,3960,0, , ,0,500,500,60,0,7200,0,750,0,1, ,3, ,0,0,0,0,0,0,3660,16630,16630, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00142,12,1,2,6,174.341836734694,1, ,0,1, , , , , , , , , , , , , , , , , , ,1600,0, , ,180,200,100,25,0,0,0,1200,0, , ,1, ,450,0,0,0,0,0,300,4055,4055, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00159,13,1,2,6,174.341836734694,1, ,0,1, , , , , , , , , , , , , , , , , , ,4800,0, , ,0,180,150,80,0,0,0,0,600, , , ,1,220,0,0,0,0,0,90,6120,6120, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00187,14,1,2,6,174.341836734694,1, ,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,4200,2500, , ,50,50,50,80,0,0,0,0,0, , , , ,900,0,0,0,0,0,50,7880,7880, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00204,15,1,2,6,174.341836734694,1, ,1,1,4019,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,4019,4800,0, , ,0,150,50,15,150,0,0,160,0, , ,1, ,1050,0,0,0,0,0,100,6475,10494, 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00007,1,1,2,6,162.719047619048,1, ,1,1,100,0,0,0,0, , , , ,0,0,150,0,0,0,0,0,250,3200,0, , ,0,0,120,0,0,0,0,100,0, , ,1, ,0,0,0,0,0,0,0,3420,3670, 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00011,2,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,50,0,0,0,0,0,50,4000,0, , ,0,0,100,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,4100,4150, 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00013,3,1,2,6,162.719047619048,1, ,1,1,0,0,0,50,0, , ,1, ,0,0,250,0,0,0,0,0,300,800,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,800,1100, 
2022,21,PUNO,03,CARABAYA,06,CRUCERO,16887,00014,4,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,150,0,0,0,0,0,150,8000,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,20,8020,8170, 
