ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002A_7A_1C,P1002A_7A_2C,P1002A_7B_1C,P1002A_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00087,12, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,90,0,0,0,0,0,90,250, , ,0,0,25,0,20,0,0,0,0, , , , ,0,0,0,0,0,0,295,385, 
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00095,13, ,1,2,6,162.719047619048,1,1,0,0,0,0,0,0, , , , ,0,0,60,0,0,0,0,0,60, , , , , , , , , , , , , , , , , , , , , , , ,60, 
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00098,14, ,1,2,6,162.719047619048,1,1,1,60,0,0,0,0, , , , ,0,0,20,0,0,0,0,0,80,120, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,120,200, 
2016,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00019,1, ,1,2,6,162.719047619048,1,1,1,0,0,0,150,230, , ,2,4,0,0,0,0,0,0,0,70,450,460, , ,30,0,40,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,530,980, 
2016,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00023,2, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,210, , ,30,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,270,270, 
2016,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00044,3, ,1,2,6,162.719047619048,1,1,1,0,0,0,250,300, , ,5,6,0,0,168,0,0,0,0,540,1258,540, , ,0,0,120,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,660,1918, 
2016,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00049,4, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,35,35,560, , ,0,0,200,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,760,795, 
2016,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00058,5, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,80,0,0,0,0,75,155,230, , ,40,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,455, 
2016,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00065,6, ,1,2,6,162.719047619048,1,1,1,0,0,0,250,150, , ,5,3,0,0,0,0,0,0,0,240,640,1150, , ,0,0,280,0,0,0,0,0,0, , , , ,0,0,0,0,0,1025,2455,3095, 
2016,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00090,7, ,1,2,6,162.719047619048,1,0,1, , , , , , , , , , , , , , , , , , ,350, , ,0,0,230,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,580,580, 
2016,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00106,8, ,1,2,6,162.719047619048,1,1,1,0,0,0,120,80, , ,3,2,0,0,0,0,0,0,0,45,245,560, , ,0,0,300,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,860,1105, 
2016,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00114,9, ,1,2,6,162.719047619048,1,0,1, , , , , , , , , , , , , , , , , , ,320, , ,20,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,370,370, 
2016,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00123,10, ,1,2,6,162.719047619048,1,1,1,0,0,0,360,140, , ,6,3,0,0,216,0,0,0,0,360,1076,750, , ,60,0,150,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,960,2036, 
